BMP Name,Percent Capture,Percent Reduction
Nutrient Management Plan - Agriculture,1,0
Nutrient Management Plan - Urban,1,0
Integrated Pest Management,1,0
Incentive Program,1,0
Conservation Buffer,0.9,0
Conservation Cover,0.9,0
Grass Border,0.9,0
Buffer/Filter Strip,0.9,0
Riparian Buffer,0.9,0
Critical Area Planting,0.9,0
Streamside Management Area,0.9,0
Water Quality Basins,0.9,0.1
Bioretention/Biofilters,0.9,0.25
Media Filter,0.9,0
Impervious Area Reduction,0.9,0.15
Organic Farming,1,0
Drinking Water Protection Zones,1,0
Emergency Response Plan,1,0
No-Till or Reduced Till,0.9,0
Cover Crops,0.9,0
