BMP Name,TSS,TP,NO3,NH3,PB,CU,ZN,BOD,E.COLI,GLYPHOSATE,"2,4-D",CARBARYL,OIL&GREASE
Nutrient Management Plan - Agriculture,,TP,NO3,NH3,,,,,,,,,
Nutrient Management Plan - Urban,,TP,NO3,NH3,,,,,,,,,
Integrated Pest Management,,,,,,,,,,GLYPHOSATE,"2,4-D",CARBARYL,
Incentive Program,,TP,NO3,NH3,,,,BOD,E.COLI,,,,
Conservation Buffer,TSS,TP,NO3,NH3,PB,CU,ZN,BOD,,GLYPHOSATE,"2,4-D",CARBARYL,
Conservation Cover,TSS,TP,NO3,NH3,PB,CU,ZN,BOD,,GLYPHOSATE,"2,4-D",CARBARYL,
Grass Border,TSS,TP,NO3,NH3,PB,CU,ZN,BOD,,GLYPHOSATE,"2,4-D",CARBARYL,
Buffer/Filter Strip,TSS,TP,NO3,NH3,PB,CU,ZN,BOD,,GLYPHOSATE,"2,4-D",CARBARYL,
Riparian Buffer,TSS,TP,NO3,NH3,PB,CU,ZN,BOD,,GLYPHOSATE,"2,4-D",CARBARYL,
Critical Area Planting,TSS,TP,NO3,NH3,PB,CU,ZN,BOD,,GLYPHOSATE,"2,4-D",CARBARYL,
Streamside Management Area,TSS,TP,NO3,NH3,,,,BOD,E.COLI,GLYPHOSATE,"2,4-D",CARBARYL,
Water Quality Basins,TSS,TP,NO3,NH3,PB,CU,ZN,BOD,E.COLI,GLYPHOSATE,"2,4-D",CARBARYL,
Bioretention/Biofilters,TSS,TP,NO3,NH3,PB,CU,ZN,BOD,E.COLI,GLYPHOSATE,"2,4-D",CARBARYL,OIL&GREASE
Media Filter,TSS,TP,,NH3,PB,CU,ZN,,E.COLI,GLYPHOSATE,"2,4-D",CARBARYL,OIL&GREASE
Impervious Area Reduction,TSS,TP,NO3,NH3,PB,CU,ZN,,,,,,
Organic Farming,,TP,NO3,NH3,,,,,,GLYPHOSATE,"2,4-D",CARBARYL,
Drinking Water Protection Zones,TSS,TP,NO3,NH3,PB,CU,ZN,BOD,E.COLI,GLYPHOSATE,"2,4-D",CARBARYL,OIL&GREASE
Emergency Response Plan,,,,,,,,,,,,,OIL&GREASE
No-Till or Reduced Till,TSS,TP,NO3,NH3,PB,CU,ZN,BOD,,GLYPHOSATE,"2,4-D",CARBARYL,
Cover Crops,TSS,TP,NO3,NH3,PB,CU,ZN,BOD,,GLYPHOSATE,"2,4-D",CARBARYL,
