BMP Name,TSS,TP,NO3,NH3,CU,PB,ZN,BOD,GLYPHOSATE,"2,4-D",CARBARYL,OIL&GREASE,E.COLI
Nutrient Management Plan - Agriculture,,0.2,0.2,0.2,,,,,,,,,
Nutrient Management Plan - Urban,,0.2,0.2,0.2,,,,,,,,,
Integrated Pest Management,,,,,,,,,0.2,0.2,0.2,,
Incentive Program,,0.1,0.1,0.1,,,,0.1,,,,,0.1
Conservation Buffer,16.35,0.183,0.4395,0.1061,0.0069,0.002,0.0236,4.608,0.2,0.2,0.2,5.5465,0.25
Conservation Cover,16.35,0.183,0.4395,0.1061,0.0069,0.002,0.0236,4.608,0.2,0.2,0.2,5.5465,0.25
Grass Border,16.35,0.183,0.4395,0.1061,0.0069,0.002,0.0236,4.608,0.2,0.2,0.2,5.5465,0.25
Buffer/Filter Strip,16.35,0.183,0.4395,0.1061,0.0069,0.002,0.0236,4.608,0.2,0.2,0.2,5.5465,0.25
Riparian Buffer,16.35,0.183,0.4395,0.1061,0.0069,0.002,0.0236,4.608,0.2,0.2,0.2,5.5465,0.25
Critical Area Planting,16.35,0.183,0.4395,0.1061,0.0069,0.002,0.0236,4.608,0.2,0.2,0.2,5.5465,0.25
Streamside Management Area,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Water Quality Basins,15.5867,0.1436,0.3126,0.0798,0.0047,0.0024,0.0243,6.3187,0.5,0.5,0.5,2.3387,0.6
Bioretention/Biofilters,13.8475,0.1494,0.3375,0.114,0.0066,0.0022,0.0202,4.6887,0.2,0.2,0.2,4.6643,0.33
Media Filter,8.69,0.0937,0.589,0.0752,0.006,0.0017,0.0179,4.85,0.25,0.25,0.25,6.3,0.6
Impervious Area Reduction,8.11,0.2929,0.2305,0.0318,0.0102,0.0011,0.0201,2.478,0.2,0.2,0.2,2.8625,0.25
Organic Farming,,0.15,0.15,0.15,,,,0.15,0.5,0.5,0.5,,
Drinking Water Protection Zones,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Emergency Response Plan,,,,,,,,,,,,0.25,
No-Till or Reduced Till,16.35,0.183,0.4395,0.1061,0.0069,0.002,0.0236,4.608,0.2,0.2,0.2,5.5465,0.25
Cover Crops,16.35,0.183,0.4395,0.1061,0.0069,0.002,0.0236,4.608,0.2,0.2,0.2,5.5465,0.25
