Subbasin,TSS,TP,NO3,NH3,PB,CU,ZN,BOD,E.COLI,GLYPHOSATE,"2,4-D",CARBARYL,OIL&GREASE
101,0.741,0.5187,0.5187,0.5187,0.48165,0.48165,0.2223,0.2223,0.2223,0.5928,0.2223,0.5928,0.62985
102,0.741,0.5187,0.5187,0.5187,0.48165,0.48165,0.2223,0.2223,0.2223,0.5928,0.2223,0.5928,0.62985
103,0.741,0.5187,0.5187,0.5187,0.48165,0.48165,0.2223,0.2223,0.2223,0.5928,0.2223,0.5928,0.62985
104,0.741,0.5187,0.5187,0.5187,0.48165,0.48165,0.2223,0.2223,0.2223,0.5928,0.2223,0.5928,0.62985
105,0.741,0.5187,0.5187,0.5187,0.48165,0.48165,0.2223,0.2223,0.2223,0.5928,0.2223,0.5928,0.62985
106,0.741,0.5187,0.5187,0.5187,0.48165,0.48165,0.2223,0.2223,0.2223,0.5928,0.2223,0.5928,0.62985
107,0.741,0.5187,0.5187,0.5187,0.48165,0.48165,0.2223,0.2223,0.2223,0.5928,0.2223,0.5928,0.62985
201,0.741,0.5187,0.5187,0.5187,0.48165,0.48165,0.2223,0.2223,0.2223,0.5928,0.2223,0.5928,0.62985
202,0.741,0.5187,0.5187,0.5187,0.48165,0.48165,0.2223,0.2223,0.2223,0.5928,0.2223,0.5928,0.62985
203,0.741,0.5187,0.5187,0.5187,0.48165,0.48165,0.2223,0.2223,0.2223,0.5928,0.2223,0.5928,0.62985
204,0.741,0.5187,0.5187,0.5187,0.48165,0.48165,0.2223,0.2223,0.2223,0.5928,0.2223,0.5928,0.62985
205,0.741,0.5187,0.5187,0.5187,0.48165,0.48165,0.2223,0.2223,0.2223,0.5928,0.2223,0.5928,0.62985
301,0.9982,0.69874,0.69874,0.69874,0.64883,0.64883,0.29946,0.29946,0.29946,0.79856,0.29946,0.79856,0.84847
302,0.9982,0.69874,0.69874,0.69874,0.64883,0.64883,0.29946,0.29946,0.29946,0.79856,0.29946,0.79856,0.84847
303,0.4056,0.28392,0.28392,0.28392,0.26364,0.26364,0.12168,0.12168,0.12168,0.32448,0.12168,0.32448,0.34476
304,0.4056,0.28392,0.28392,0.28392,0.26364,0.26364,0.12168,0.12168,0.12168,0.32448,0.12168,0.32448,0.34476
305,0.4056,0.28392,0.28392,0.28392,0.26364,0.26364,0.12168,0.12168,0.12168,0.32448,0.12168,0.32448,0.34476
306,0.5733,0.40131,0.40131,0.40131,0.372645,0.372645,0.17199,0.17199,0.17199,0.45864,0.17199,0.45864,0.487305
401,0.741,0.5187,0.5187,0.5187,0.48165,0.48165,0.2223,0.2223,0.2223,0.5928,0.2223,0.5928,0.62985
402,0.741,0.5187,0.5187,0.5187,0.48165,0.48165,0.2223,0.2223,0.2223,0.5928,0.2223,0.5928,0.62985
403,0.741,0.5187,0.5187,0.5187,0.48165,0.48165,0.2223,0.2223,0.2223,0.5928,0.2223,0.5928,0.62985
404,0.741,0.5187,0.5187,0.5187,0.48165,0.48165,0.2223,0.2223,0.2223,0.5928,0.2223,0.5928,0.62985
405,0.741,0.5187,0.5187,0.5187,0.48165,0.48165,0.2223,0.2223,0.2223,0.5928,0.2223,0.5928,0.62985
406,0.741,0.5187,0.5187,0.5187,0.48165,0.48165,0.2223,0.2223,0.2223,0.5928,0.2223,0.5928,0.62985
501,0,0,0,0,0,0,0,0,0,0,0,0,0
502,0,0,0,0,0,0,0,0,0,0,0,0,0
503,0,0,0,0,0,0,0,0,0,0,0,0,0
601,0,0,0,0,0,0,0,0,0,0,0,0,0
602,0,0,0,0,0,0,0,0,0,0,0,0,0
603,0.36579,0.256053,0.256053,0.256053,0.2377635,0.2377635,0.109737,0.109737,0.109737,0.292632,0.109737,0.292632,0.3109215
604,0,0,0,0,0,0,0,0,0,0,0,0,0
605,0,0,0,0,0,0,0,0,0,0,0,0,0
606,0,0,0,0,0,0,0,0,0,0,0,0,0
607,0,0,0,0,0,0,0,0,0,0,0,0,0
